Unnamed: 0,budget,habitat,T1,T2,wph,netgain
0,0.0,5.49,1.24,1.78,3.01,0.0
1,100000.0,6.37,1.43,2.08,3.51,0.88
2,200000.0,14.23,3.32,4.27,7.59,8.74
3,300000.0,15.1,3.51,4.58,8.09,9.61
4,400000.0,21.08,5.28,5.23,10.51,15.59
5,500000.0,32.94,8.52,7.38,15.9,27.45
